instance,set,dist_mode,mu,lambda,alpha1,alpha2,seed_rule,tiebreak,vehicles,schedule_time,distance,waiting_time,service_time,cpu_ms,feasible
C104,C1,trunc,1,1,0,1,deadline,0,11,11196.4000,1450.3000,746.1000,9000.0000,0,1
C104,C1,trunc,1,2,0,1,far,0,11,11105.4000,1379.6000,725.8000,9000.0000,0,1
C104,C1,trunc,1,2,0,1,deadline,0,11,11469.3000,1516.8000,952.5000,9000.0000,0,1
C104,C1,double,1,1,1,0,far,0,10,10427.3837,1147.8996,279.4841,9000.0000,0,1
C104,C1,double,1,1,1,0,deadline,0,10,11037.6352,1118.1263,919.5090,9000.0000,0,1
C104,C1,double,1,2,1,0,far,0,10,10381.4854,1150.5122,230.9732,9000.0000,0,1
C104,C1,double,1,2,1,0,deadline,0,10,11733.8478,1368.9385,1364.9093,9000.0000,0,1
C104,C1,double,1,1,0,1,far,0,12,11384.8339,1445.8225,939.0114,9000.0000,0,1
C104,C1,double,1,1,0,1,deadline,0,11,11197.1446,1451.3823,745.7623,9000.0000,0,1
C104,C1,double,1,2,0,1,far,0,11,11106.5578,1381.8794,724.6784,9000.0000,0,1
C104,C1,double,1,2,0,1,deadline,0,11,11457.2532,1505.4244,951.8288,9000.0000,0,1
C105,C1,trunc,1,1,1,0,far,0,10,9921.2000,877.0000,44.2000,9000.0000,0,1
C105,C1,trunc,1,1,1,0,deadline,0,10,9940.3000,868.0000,72.3000,9000.0000,0,1
C105,C1,trunc,1,2,1,0,far,0,10,9961.9000,878.9000,83.0000,9000.0000,0,1
C105,C1,trunc,1,2,1,0,deadline,0,12,10633.0000,1342.0000,291.0000,9000.0000,0,1
C105,C1,trunc,1,1,0,1,far,0,12,10763.0000,1215.7000,547.3000,9000.0000,0,1
C105,C1,trunc,1,1,0,1,deadline,0,10,9859.2000,859.2000,0.0000,9000.0000,0,1
C105,C1,trunc,1,2,0,1,far,0,12,10872.6000,1224.8000,647.8000,9000.0000,0,1
C105,C1,trunc,1,2,0,1,deadline,0,11,10599.2000,1284.9000,314.3000,9000.0000,0,1
C105,C1,double,1,1,1,0,far,0,10,9922.7194,878.7835,43.9359,9000.0000,0,1
