design,config,neighborhoods,instance,family,distance,vehicles,feasible,gap_pct
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",R103,R1,1287.9,16,1,6.5525
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",R105,R1,1477.2,15,1,8.9943
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",R107,R1,1218.7,12,1,14.4749
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",R108,R1,1134.2,11,1,21.6822
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",R111,R1,1196.9,12,1,14.1318
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",R202,R2,1373.2,4,1,33.3722
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",R204,R2,924.3,4,1,26.3914
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",R207,R2,1002.5,3,1,26.2594
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",R208,R2,850.7,3,1,21.3552
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",R209,R2,1092.5,4,1,27.8077
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",R211,R2,985.1,3,1,31.9271
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",RC102,RC,1595.9,15,1,9.5032
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",RC103,RC,1385.0,12,1,10.0954
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",RC105,RC,1667.2,16,1,10.1407
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",RC108,RC,1278.7,11,1,14.764
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",RC202,RC,1415.3,4,1,29.5706
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",RC203,RC,1121.3,4,1,21.3922
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",RC206,RC,1421.2,4,1,35.2107
cumul,2-opt intra+Swap+2-opt*,"twoopt,swap,twooptstar",RC208,RC,1032.1,3,1,32.9854
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",C104,C1,918.9,10,1,11.6661
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",C105,C1,827.3,10,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",C107,C1,827.3,10,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",C108,C1,827.3,10,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",C203,C2,653.7,4,1,11.0413
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",C206,C2,586.0,3,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",C207,C2,585.8,3,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",C208,C2,632.3,3,1,7.9379
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",R102,R1,1493.0,19,1,1.8001
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",R103,R1,1273.0,16,1,5.3198
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",R105,R1,1414.4,15,1,4.3607
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",R107,R1,1159.1,12,1,8.8766
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",R108,R1,1080.4,11,1,15.9103
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",R111,R1,1190.9,12,1,13.5596
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",R202,R2,1186.1,4,1,15.2001
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",R204,R2,828.9,4,1,13.3461
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",R207,R2,881.4,3,1,11.0076
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",R208,R2,802.8,3,1,14.5221
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",R209,R2,970.0,4,1,13.4768
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",R211,R2,965.4,3,1,29.2889
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",RC102,RC,1540.9,15,1,5.7294
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",RC103,RC,1341.9,12,1,6.6693
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",RC105,RC,1613.0,16,1,6.5601
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",RC108,RC,1242.4,11,1,11.506
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",RC202,RC,1316.8,4,1,20.553
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",RC203,RC,1038.1,4,1,12.385
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",RC206,RC,1191.9,4,1,13.3955
cumul,2-opt intra+Swap+2-opt*+Relocate,"twoopt,swap,twooptstar,relocate",RC208,RC,934.2,3,1,20.3711
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",C104,C1,876.7,10,1,6.5379
