algorithm,i1,vnd,grasp,rgrasp,tabu
i1,1.0,0.0002138454045818028,0.0,0.0,3.064215547965432e-14
vnd,0.0002138454045818028,1.0,4.904510131353845e-10,3.4952060135040597e-09,0.00247715892767586
grasp,0.0,4.904510131353845e-10,1.0,0.9982673419794145,0.028146530444716822
rgrasp,0.0,3.4952060135040597e-09,0.9982673419794145,1.0,0.06511209095844916
tabu,3.064215547965432e-14,0.00247715892767586,0.028146530444716822,0.06511209095844916,1.0
