algorithm,C,R,RC
i1,26.58029411764706,37.28339130434783,44.0481875
vnd,3.358705882352941,10.981739130434784,10.144375
grasp,0.12990980392156862,2.6015739130434783,3.0430625
rgrasp,0.08933725490196077,2.5942376811594205,2.770152083333333
tabu,0.6116470588235294,4.892130434782609,6.1370625
