algorithm,i1,vnd,grasp,rgrasp,tabu
i1,1.0,0.02921568329485147,2.0317081350640365e-13,7.452927164308676e-13,1.9016102881241892e-07
vnd,0.02921568329485147,1.0,2.1838364485660122e-05,4.9324942738793176e-05,0.053284021510054624
grasp,2.0317081350640365e-13,2.1838364485660122e-05,1.0,0.9998174992550876,0.2522941350575072
rgrasp,7.452927164308676e-13,4.9324942738793176e-05,0.9998174992550876,1.0,0.33954133569315825
tabu,1.9016102881241892e-07,0.053284021510054624,0.2522941350575072,0.33954133569315825,1.0
