algorithm,gap_mean,gap_best,veh_mean,time_mean_ms,iters_mean,improvements_mean,time_to_best_mean_ms,useful_pct_mean
i1,35.967035714285714,35.967035714285714,8.464285714285714,0.0,0.0,0.0,,0.0
vnd,8.428357142857143,8.428357142857143,8.357142857142858,36.839285714285715,0.0,45.857142857142854,0.0,0.0
grasp,1.9773869047619048,1.0422678571428572,8.213095238095239,51579.63988095238,1234.4297619047618,6.989285714285714,20094.484523809522,26.697765997116527
rgrasp,1.884082738095238,1.0213750000000001,8.29047619047619,56551.249404761904,1248.6517857142858,6.901190476190476,21548.9375,27.491473783501316
tabu,3.9483928571428573,3.9483928571428573,8.285714285714286,7658.803571428572,1087.5357142857142,46.767857142857146,1968.9642857142858,20.701832452780696
