config,neighborhoods,instance,family,type,dist,veh,time_ms,gap_pct
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C107,C,1,827.3,10,29,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C107,C,1,827.3,10,41,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C107,C,1,865.2,10,67,4.581167653813622
sem:Or-opt,"relocate,swap,twoopt,cross",C107,C,1,827.3,10,31,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C107,C,1,827.3,10,39,0.0
sem:2-opt,"relocate,oropt,swap,cross",C107,C,1,827.3,10,36,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C107,C,1,827.3,10,24,0.0
cumul:Relocate,relocate,C108,C,1,827.3,10,36,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C108,C,1,827.3,10,70,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C108,C,1,827.3,10,49,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C108,C,1,827.3,10,49,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C108,C,1,827.3,10,67,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C108,C,1,890.2,10,151,7.603046053426822
sem:Or-opt,"relocate,swap,twoopt,cross",C108,C,1,827.3,10,59,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C108,C,1,827.3,10,60,0.0
sem:2-opt,"relocate,oropt,swap,cross",C108,C,1,827.3,10,59,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C108,C,1,827.3,10,45,0.0
cumul:Relocate,relocate,C109,C,1,880.2,11,39,6.394294693581541
cumul:Relocate+Or-opt,"relocate,oropt",C109,C,1,880.2,11,49,6.394294693581541
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C109,C,1,880.2,11,50,6.394294693581541
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C109,C,1,880.2,11,58,6.394294693581541
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C109,C,1,880.2,11,57,6.394294693581541
sem:Relocate,"oropt,swap,twoopt,cross",C109,C,1,891.4,11,99,7.748096216608246
sem:Or-opt,"relocate,swap,twoopt,cross",C109,C,1,880.2,11,52,6.394294693581541
sem:Swap,"relocate,oropt,twoopt,cross",C109,C,1,880.2,11,65,6.394294693581541
sem:2-opt,"relocate,oropt,swap,cross",C109,C,1,880.2,11,65,6.394294693581541
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C109,C,1,880.2,11,51,6.394294693581541
cumul:Relocate,relocate,C201,C,2,589.1,3,13,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C201,C,2,589.1,3,28,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C201,C,2,589.1,3,31,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C201,C,2,589.1,3,35,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C201,C,2,589.1,3,51,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C201,C,2,589.1,3,56,0.0
sem:Or-opt,"relocate,swap,twoopt,cross",C201,C,2,589.1,3,34,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C201,C,2,589.1,3,48,0.0
sem:2-opt,"relocate,oropt,swap,cross",C201,C,2,589.1,3,51,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C201,C,2,589.1,3,37,0.0
cumul:Relocate,relocate,C202,C,2,617.9,3,68,4.888813444236964
cumul:Relocate+Or-opt,"relocate,oropt",C202,C,2,617.9,3,82,4.888813444236964
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C202,C,2,617.9,3,81,4.888813444236964
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C202,C,2,617.9,3,81,4.888813444236964
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C202,C,2,617.9,3,107,4.888813444236964
sem:Relocate,"oropt,swap,twoopt,cross",C202,C,2,634.2,4,237,7.65574605330165
sem:Or-opt,"relocate,swap,twoopt,cross",C202,C,2,617.9,3,90,4.888813444236964
sem:Swap,"relocate,oropt,twoopt,cross",C202,C,2,617.9,3,107,4.888813444236964
sem:2-opt,"relocate,oropt,swap,cross",C202,C,2,617.9,3,107,4.888813444236964
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C202,C,2,617.9,3,90,4.888813444236964
cumul:Relocate,relocate,C203,C,2,691.1,4,103,17.394258535756745
cumul:Relocate+Or-opt,"relocate,oropt",C203,C,2,631.3,4,193,7.236283336164415
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C203,C,2,622.2,4,233,5.690504501443859
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C203,C,2,622.2,4,236,5.690504501443859
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C203,C,2,622.2,4,251,5.690504501443859
sem:Relocate,"oropt,swap,twoopt,cross",C203,C,2,649.1,4,477,10.259894683200267
sem:Or-opt,"relocate,swap,twoopt,cross",C203,C,2,690.0,4,134,17.20740614914217
sem:Swap,"relocate,oropt,twoopt,cross",C203,C,2,631.3,4,209,7.236283336164415
sem:2-opt,"relocate,oropt,swap,cross",C203,C,2,622.2,4,250,5.690504501443859
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C203,C,2,622.2,4,223,5.690504501443859
cumul:Relocate,relocate,C204,C,2,886.2,4,135,50.68865839143003
cumul:Relocate+Or-opt,"relocate,oropt",C204,C,2,791.2,4,330,34.53494303689849
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C204,C,2,787.0,4,360,33.820778779119195
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C204,C,2,787.0,4,356,33.820778779119195
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C204,C,2,770.0,4,419,30.930113926203024
sem:Relocate,"oropt,swap,twoopt,cross",C204,C,2,805.5,4,593,36.96650229552797
sem:Or-opt,"relocate,swap,twoopt,cross",C204,C,2,848.8,4,223,44.32919571501444
sem:Swap,"relocate,oropt,twoopt,cross",C204,C,2,774.2,4,409,31.644278183982316
sem:2-opt,"relocate,oropt,swap,cross",C204,C,2,770.0,4,414,30.930113926203024
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C204,C,2,787.0,4,355,33.820778779119195
cumul:Relocate,relocate,C205,C,2,606.8,3,49,3.478854024556613
cumul:Relocate+Or-opt,"relocate,oropt",C205,C,2,606.8,3,68,3.478854024556613
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C205,C,2,606.8,3,66,3.478854024556613
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C205,C,2,606.8,3,65,3.478854024556613
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C205,C,2,606.8,3,84,3.478854024556613
sem:Relocate,"oropt,swap,twoopt,cross",C205,C,2,638.1,4,142,8.81650750341065
sem:Or-opt,"relocate,swap,twoopt,cross",C205,C,2,606.8,3,75,3.478854024556613
sem:Swap,"relocate,oropt,twoopt,cross",C205,C,2,606.8,3,88,3.478854024556613
sem:2-opt,"relocate,oropt,swap,cross",C205,C,2,606.8,3,86,3.478854024556613
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C205,C,2,606.8,3,69,3.478854024556613
cumul:Relocate,relocate,C206,C,2,586.0,3,55,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C206,C,2,586.0,3,71,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C206,C,2,586.0,3,77,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C206,C,2,586.0,3,80,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C206,C,2,586.0,3,99,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C206,C,2,598.5,3,196,2.1331058020477816
sem:Or-opt,"relocate,swap,twoopt,cross",C206,C,2,586.0,3,78,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C206,C,2,586.0,3,95,0.0
sem:2-opt,"relocate,oropt,swap,cross",C206,C,2,586.0,3,94,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C206,C,2,586.0,3,79,0.0
cumul:Relocate,relocate,C207,C,2,585.8,3,71,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C207,C,2,585.8,3,94,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C207,C,2,585.8,3,95,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C207,C,2,585.8,3,100,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C207,C,2,585.8,3,120,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C207,C,2,696.5,3,201,18.89723455104132
sem:Or-opt,"relocate,swap,twoopt,cross",C207,C,2,585.8,3,105,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C207,C,2,585.8,3,110,0.0
sem:2-opt,"relocate,oropt,swap,cross",C207,C,2,585.8,3,112,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C207,C,2,585.8,3,94,0.0
cumul:Relocate,relocate,C208,C,2,632.3,3,78,7.937862751792421
cumul:Relocate+Or-opt,"relocate,oropt",C208,C,2,632.3,3,96,7.937862751792421
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C208,C,2,632.3,3,107,7.937862751792421
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C208,C,2,632.3,3,107,7.937862751792421
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C208,C,2,632.3,3,121,7.937862751792421
sem:Relocate,"oropt,swap,twoopt,cross",C208,C,2,647.0,3,301,10.447251621713905
sem:Or-opt,"relocate,swap,twoopt,cross",C208,C,2,632.3,3,105,7.937862751792421
sem:Swap,"relocate,oropt,twoopt,cross",C208,C,2,632.3,3,126,7.937862751792421
sem:2-opt,"relocate,oropt,swap,cross",C208,C,2,632.3,3,121,7.937862751792421
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C208,C,2,632.3,3,108,7.937862751792421
cumul:Relocate,relocate,R101,R,1,1727.5,21,37,5.483299749648895
cumul:Relocate+Or-opt,"relocate,oropt",R101,R,1,1726.2,21,52,5.403920131892288
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R101,R,1,1696.5,21,112,3.59040117237589
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R101,R,1,1696.5,21,119,3.59040117237589
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R101,R,1,1670.0,21,242,1.9722781950296118
sem:Relocate,"oropt,swap,twoopt,cross",R101,R,1,1717.1,21,301,4.848262807596011
sem:Or-opt,"relocate,swap,twoopt,cross",R101,R,1,1671.7,21,152,2.076082310557489
sem:Swap,"relocate,oropt,twoopt,cross",R101,R,1,1669.8,21,233,1.9600659461439767
sem:2-opt,"relocate,oropt,swap,cross",R101,R,1,1670.0,21,241,1.9722781950296118
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R101,R,1,1696.5,21,118,3.59040117237589
cumul:Relocate,relocate,R102,R,1,1516.8,19,56,3.4228828583117448
cumul:Relocate+Or-opt,"relocate,oropt",R102,R,1,1515.5,19,79,3.334242465566623
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R102,R,1,1515.5,19,82,3.334242465566623
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R102,R,1,1515.5,19,72,3.334242465566623
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R102,R,1,1509.5,19,114,2.925132960589124
sem:Relocate,"oropt,swap,twoopt,cross",R102,R,1,1529.4,19,293,4.2820128187645015
sem:Or-opt,"relocate,swap,twoopt,cross",R102,R,1,1510.8,19,82,3.013773353334246
sem:Swap,"relocate,oropt,twoopt,cross",R102,R,1,1509.5,19,100,2.925132960589124
sem:2-opt,"relocate,oropt,swap,cross",R102,R,1,1509.5,19,111,2.925132960589124
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R102,R,1,1515.5,19,69,3.334242465566623
cumul:Relocate,relocate,R103,R,1,1337.9,16,65,10.689170182841073
cumul:Relocate+Or-opt,"relocate,oropt",R103,R,1,1334.7,16,78,10.424422933730455
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R103,R,1,1312.3,16,128,8.571192189956143
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R103,R,1,1312.3,16,131,8.571192189956143
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R103,R,1,1308.7,16,162,8.273351534706709
sem:Relocate,"oropt,swap,twoopt,cross",R103,R,1,1327.5,16,417,9.828741623231567
sem:Or-opt,"relocate,swap,twoopt,cross",R103,R,1,1309.7,16,119,8.356085050053776
sem:Swap,"relocate,oropt,twoopt,cross",R103,R,1,1308.7,16,201,8.273351534706709
sem:2-opt,"relocate,oropt,swap,cross",R103,R,1,1308.7,16,177,8.273351534706709
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R103,R,1,1312.3,16,132,8.571192189956143
cumul:Relocate,relocate,R104,R,1,1085.5,12,91,11.734431291816778
cumul:Relocate+Or-opt,"relocate,oropt",R104,R,1,1084.7,12,115,11.65208440555842
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R104,R,1,1078.1,12,159,10.972722593926907
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R104,R,1,1078.1,12,172,10.972722593926907
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R104,R,1,1048.4,12,245,7.9155944415851875
sem:Relocate,"oropt,swap,twoopt,cross",R104,R,1,1044.4,12,446,7.50386001029337
sem:Or-opt,"relocate,swap,twoopt,cross",R104,R,1,1040.0,12,207,7.050952135872363
sem:Swap,"relocate,oropt,twoopt,cross",R104,R,1,1064.5,12,262,9.57282552753474
sem:2-opt,"relocate,oropt,swap,cross",R104,R,1,1048.4,12,260,7.9155944415851875
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R104,R,1,1078.1,12,189,10.972722593926907
cumul:Relocate,relocate,R105,R,1,1462.3,15,42,7.894931011584151
cumul:Relocate+Or-opt,"relocate,oropt",R105,R,1,1462.3,15,53,7.894931011584151
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R105,R,1,1451.4,15,73,7.090681030030262
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R105,R,1,1451.4,15,76,7.090681030030262
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R105,R,1,1437.1,15,121,6.035564081753114
sem:Relocate,"oropt,swap,twoopt,cross",R105,R,1,1467.3,15,272,8.263853021471261
sem:Or-opt,"relocate,swap,twoopt,cross",R105,R,1,1437.1,15,88,6.035564081753114
sem:Swap,"relocate,oropt,twoopt,cross",R105,R,1,1423.2,15,163,5.009960894266959
sem:2-opt,"relocate,oropt,swap,cross",R105,R,1,1437.1,15,125,6.035564081753114
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R105,R,1,1451.4,15,79,7.090681030030262
cumul:Relocate,relocate,R106,R,1,1317.0,14,50,6.674226470111785
cumul:Relocate+Or-opt,"relocate,oropt",R106,R,1,1317.0,14,54,6.674226470111785
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R106,R,1,1315.9,14,72,6.585128786651562
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R106,R,1,1315.9,14,70,6.585128786651562
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R106,R,1,1301.5,14,126,5.418759112263089
sem:Relocate,"oropt,swap,twoopt,cross",R106,R,1,1329.1,14,227,7.654300988174308
sem:Or-opt,"relocate,swap,twoopt,cross",R106,R,1,1301.5,14,93,5.418759112263089
sem:Swap,"relocate,oropt,twoopt,cross",R106,R,1,1301.5,14,128,5.418759112263089
sem:2-opt,"relocate,oropt,swap,cross",R106,R,1,1301.5,14,120,5.418759112263089
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R106,R,1,1315.9,14,65,6.585128786651562
cumul:Relocate,relocate,R107,R,1,1209.3,12,73,13.591959421378927
cumul:Relocate+Or-opt,"relocate,oropt",R107,R,1,1204.5,12,99,13.141085853841828
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R107,R,1,1203.5,12,133,13.047153860604933
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R107,R,1,1203.5,12,116,13.047153860604933
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R107,R,1,1172.5,12,178,10.13526207026114
sem:Relocate,"oropt,swap,twoopt,cross",R107,R,1,1209.0,12,356,13.563779823407863
sem:Or-opt,"relocate,swap,twoopt,cross",R107,R,1,1177.5,12,141,10.604922036445624
sem:Swap,"relocate,oropt,twoopt,cross",R107,R,1,1172.5,12,197,10.13526207026114
sem:2-opt,"relocate,oropt,swap,cross",R107,R,1,1172.5,12,191,10.13526207026114
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R107,R,1,1203.5,12,162,13.047153860604933
cumul:Relocate,relocate,R108,R,1,1138.7,11,36,22.165003754961916
cumul:Relocate+Or-opt,"relocate,oropt",R108,R,1,1138.7,11,43,22.165003754961916
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R108,R,1,1125.1,11,143,20.70593283982404
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R108,R,1,1125.1,11,137,20.70593283982404
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R108,R,1,1121.2,11,180,20.28752279798305
sem:Relocate,"oropt,swap,twoopt,cross",R108,R,1,1131.8,11,226,21.42473983478167
sem:Or-opt,"relocate,swap,twoopt,cross",R108,R,1,1121.2,11,91,20.28752279798305
sem:Swap,"relocate,oropt,twoopt,cross",R108,R,1,1125.8,11,207,20.781032078103202
sem:2-opt,"relocate,oropt,swap,cross",R108,R,1,1121.2,11,171,20.28752279798305
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R108,R,1,1125.1,11,140,20.70593283982404
cumul:Relocate,relocate,R109,R,1,1329.5,14,41,15.921178829889257
cumul:Relocate+Or-opt,"relocate,oropt",R109,R,1,1306.9,14,74,13.950649577120933
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R109,R,1,1278.4,14,118,11.465690121196268
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R109,R,1,1278.4,14,125,11.465690121196268
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R109,R,1,1278.4,14,127,11.465690121196268
sem:Relocate,"oropt,swap,twoopt,cross",R109,R,1,1308.8,14,224,14.116313540849232
sem:Or-opt,"relocate,swap,twoopt,cross",R109,R,1,1288.0,14,86,12.302729095823516
sem:Swap,"relocate,oropt,twoopt,cross",R109,R,1,1278.4,14,162,11.465690121196268
sem:2-opt,"relocate,oropt,swap,cross",R109,R,1,1278.4,14,130,11.465690121196268
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R109,R,1,1278.4,14,122,11.465690121196268
cumul:Relocate,relocate,R110,R,1,1239.0,12,41,16.01123595505618
cumul:Relocate+Or-opt,"relocate,oropt",R110,R,1,1239.0,12,47,16.01123595505618
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R110,R,1,1233.1,12,62,15.458801498127334
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R110,R,1,1233.1,12,68,15.458801498127334
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R110,R,1,1196.2,12,106,12.003745318352065
sem:Relocate,"oropt,swap,twoopt,cross",R110,R,1,1272.3,12,170,19.129213483146064
sem:Or-opt,"relocate,swap,twoopt,cross",R110,R,1,1196.2,12,87,12.003745318352065
sem:Swap,"relocate,oropt,twoopt,cross",R110,R,1,1202.1,12,88,12.55617977528089
sem:2-opt,"relocate,oropt,swap,cross",R110,R,1,1196.2,12,106,12.003745318352065
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R110,R,1,1233.1,12,64,15.458801498127334
cumul:Relocate,relocate,R111,R,1,1157.2,12,70,10.34614284352055
cumul:Relocate+Or-opt,"relocate,oropt",R111,R,1,1145.7,12,106,9.24954705826261
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R111,R,1,1134.3,12,142,8.162486888528646
