algorithm,train,test,delta_pp
i1,34.29482142857143,37.63925,3.3444285714285655
vnd,8.249428571428572,8.607285714285714,0.3578571428571422
grasp,1.9269809523809525,2.027792857142857,0.10081190476190449
rgrasp,1.764727380952381,2.0034380952380952,0.23871071428571433
tabu,3.8535714285714286,4.043214285714286,0.18964285714285722
