cenario,pdr,duty_interval,transbordos,coletas,distancia,defasagem_media_ciclos,pdr_observado
perfeito,1.0,1,51,248,8020.9,0.0,1.0
degradado,0.9,2,96,213,7020.4,0.52,0.8967
