algo,K,gap_mean_pct
grasp,20,5.0638
grasp,40,4.5686
grasp,60,4.3162
grasp,90,4.1511
grasp,130,3.9247
grasp,180,3.6786
grasp,250,3.5577
rgrasp,20,4.9238
rgrasp,40,4.4144
rgrasp,60,4.147
rgrasp,90,3.9823
rgrasp,130,3.8696
rgrasp,180,3.5123
rgrasp,250,3.4022
tabu,100,5.725
tabu,200,5.368
tabu,400,4.9295
tabu,600,4.8977
tabu,900,4.4617
tabu,1400,4.2468
