config,neighborhoods,instance,family,type,dist,veh,time_ms,gap_pct
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C103,C,1,881.4,10,22,6.668280285610556
cumul:Relocate,relocate,C104,C,1,1068.1,10,4,29.79705918094543
cumul:Relocate+Or-opt,"relocate,oropt",C104,C,1,1053.0,10,14,27.962085308056878
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C104,C,1,1022.6,10,31,24.267833272572613
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C104,C,1,898.2,10,42,9.150565074735699
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C104,C,1,898.2,10,44,9.150565074735699
sem:Relocate,"oropt,swap,twoopt,cross",C104,C,1,932.8,10,57,13.355207194069752
sem:Or-opt,"relocate,swap,twoopt,cross",C104,C,1,972.8,10,20,18.21606513549641
sem:Swap,"relocate,oropt,twoopt,cross",C104,C,1,900.9,10,31,9.47867298578199
sem:2-opt,"relocate,oropt,swap,cross",C104,C,1,1012.7,10,38,23.06477093206952
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C104,C,1,898.2,10,42,9.150565074735699
cumul:Relocate,relocate,C105,C,1,827.3,10,3,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C105,C,1,827.3,10,4,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C105,C,1,827.3,10,4,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C105,C,1,827.3,10,4,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C105,C,1,827.3,10,7,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C105,C,1,854.4,10,9,3.2757161851807113
sem:Or-opt,"relocate,swap,twoopt,cross",C105,C,1,827.3,10,6,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C105,C,1,827.3,10,7,0.0
sem:2-opt,"relocate,oropt,swap,cross",C105,C,1,827.3,10,7,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C105,C,1,827.3,10,4,0.0
cumul:Relocate,relocate,C106,C,1,827.3,10,5,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C106,C,1,827.3,10,6,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C106,C,1,827.3,10,7,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C106,C,1,827.3,10,7,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C106,C,1,827.3,10,9,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C106,C,1,913.9,11,16,10.467786776260127
sem:Or-opt,"relocate,swap,twoopt,cross",C106,C,1,827.3,10,8,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C106,C,1,827.3,10,9,0.0
