algorithm,C,R,RC
i1,26.58029411764706,37.28339130434783,44.0481875
vnd,4.459764705882353,13.415304347826089,14.7268125
grasp,0.23143725490196076,4.334078260869566,5.42970625
rgrasp,0.2359745098039216,4.33803768115942,5.359652083333334
tabu,0.7363529411764707,5.371695652173913,7.2934375
