algorithm,instance,family,type,dist_mean,dist_best,dist_std,veh_mean,gap_mean,gap_best
grasp,C101,C,1,827.3,827.3,0.0,10.0,0.0,0.0
grasp,C102,C,1,827.3,827.3,0.0,10.0,0.0,0.0
grasp,C103,C,1,826.3,826.3,0.0,10.0,0.0,0.0
grasp,C104,C,1,822.9,822.9,0.0,10.0,0.0,0.0
grasp,C105,C,1,827.3,827.3,0.0,10.0,0.0,0.0
grasp,C106,C,1,827.3,827.3,0.0,10.0,0.0,0.0
grasp,C107,C,1,827.3,827.3,0.0,10.0,0.0,0.0
grasp,C108,C,1,827.3,827.3,0.0,10.0,0.0,0.0
grasp,C109,C,1,827.3,827.3,0.0,10.0,0.0,0.0
grasp,C201,C,2,589.1,589.1,0.0,3.0,0.0,0.0
grasp,C202,C,2,589.1,589.1,0.0,3.0,0.0,0.0
grasp,C203,C,2,591.1,588.7,4.047988005979239,3.0,0.40773333333333334,0.0
grasp,C204,C,2,608.84,591.4,5.743758231392539,3.0,3.5267,0.561
grasp,C205,C,2,586.4,586.4,0.0,3.0,0.0,0.0
grasp,C206,C,2,586.0,586.0,0.0,3.0,0.0,0.0
grasp,C207,C,2,585.8,585.8,0.0,3.0,0.0,0.0
grasp,C208,C,2,585.8,585.8,0.0,3.0,0.0,0.0
grasp,R101,R,1,1642.6866666666667,1639.9,1.6245388381880712,20.0,0.3045,0.134
grasp,R102,R,1,1473.8333333333333,1467.6,3.7056651255865534,18.233333333333334,0.4932,0.068
grasp,R103,R,1,1227.4633333333334,1218.0,3.9869168221981677,14.633333333333333,1.5523666666666667,0.769
grasp,R104,R,1,1005.5066666666667,987.9,7.81064407840611,11.266666666666667,3.5004666666666666,1.688
grasp,R105,R,1,1375.8366666666666,1362.5,6.736902149705919,15.433333333333334,1.5152333333333334,0.531
grasp,R106,R,1,1254.5466666666666,1243.4,4.749644874807115,13.066666666666666,1.6157666666666666,0.713
grasp,R107,R,1,1102.8633333333335,1083.8,7.079425426389911,11.8,3.594133333333333,1.803
grasp,R108,R,1,972.7866666666666,955.9,5.104611392776558,10.5,4.365066666666666,2.553
grasp,R109,R,1,1176.3466666666668,1159.3,7.054112683188911,13.0,2.567533333333333,1.081
grasp,R110,R,1,1115.98,1104.2,6.165163532243967,12.133333333333333,4.492533333333333,3.39
grasp,R111,R,1,1079.0800000000002,1055.5,8.932598185568834,11.9,2.8967666666666663,0.648
grasp,R112,R,1,994.8933333333333,977.5,6.793198085576846,10.466666666666667,4.8802,3.047
grasp,R201,R,2,1223.3133333333333,1209.3,7.698980377334076,5.033333333333333,7.0078000000000005,5.782
grasp,R202,R,2,1076.14,1053.1,8.837795012878232,5.0,4.520066666666667,2.282
grasp,R203,R,2,937.7433333333333,919.4,6.863078797064237,4.0,7.687666666666667,5.581
grasp,R204,R,2,759.6966666666667,749.5,4.43399744399263,3.033333333333333,3.8830666666666667,2.489
grasp,R205,R,2,1016.5833333333334,989.5,12.13092609062026,4.0,7.0313,4.18
grasp,R206,R,2,943.7166666666667,920.6,11.054007958836632,3.533333333333333,7.742500000000001,5.103
grasp,R207,R,2,844.1266666666667,822.1,12.913423471222753,3.0,6.313233333333333,3.539
grasp,R208,R,2,722.89,710.8,6.345856644435355,3.0,3.1226333333333334,1.398
grasp,R209,R,2,906.3033333333333,883.6,10.722984766325599,4.0,6.025233333333333,3.369
grasp,R210,R,2,954.15,929.3,10.762154315806908,4.0,5.9577333333333335,3.198
grasp,R211,R,2,811.0266666666666,784.2,10.689535112414372,3.0,8.6148,5.022
grasp,RC101,RC,1,1652.9366666666667,1643.6,4.393606901987853,16.833333333333332,2.0459,1.469
grasp,RC102,RC,1,1482.5866666666666,1474.9,3.208580450253212,14.866666666666667,1.7282666666666666,1.201
