algorithm,i1,vnd,grasp,rgrasp,tabu
i1,1.0,0.00046371352757856865,0.0,0.0,4.440892098500626e-16
vnd,0.00046371352757856865,1.0,4.904510131353845e-10,3.4952060135040597e-09,0.00012532644049068065
grasp,0.0,4.904510131353845e-10,1.0,0.9982673419794145,0.1754349477179895
rgrasp,0.0,3.4952060135040597e-09,0.9982673419794145,1.0,0.3105963145342986
tabu,4.440892098500626e-16,0.00012532644049068065,0.1754349477179895,0.3105963145342986,1.0
