algorithm,gap_mean,gap_best,veh_mean
i1,35.967035714285714,35.967035714285714,8.464285714285714
vnd,11.071375,11.071375,8.375
grasp,3.4016702380952384,1.9204107142857143,8.20892857142857
rgrasp,3.3846583333333333,2.003910714285714,8.279761904761905
tabu,4.5136071428571425,4.5136071428571425,8.285714285714286
