algorithm,i1,vnd,grasp,rgrasp,tabu
i1,1.0,0.04745061334050393,3.9057646006313007e-13,2.0317081350640365e-13,1.1623253526327204e-07
vnd,0.04745061334050393,1.0,1.4375901158381055e-05,9.396251075322049e-06,0.02574448604357027
grasp,3.9057646006313007e-13,1.4375901158381055e-05,1.0,0.9999884792191286,0.33954133569315825
rgrasp,2.0317081350640365e-13,9.396251075322049e-06,0.9999884792191286,1.0,0.2940697685464122
tabu,1.1623253526327204e-07,0.02574448604357027,0.33954133569315825,0.2940697685464122,1.0
