elapsed_ms,best
4,1568
9,1549
13,1538
18,1527.1
23,1517.6
27,1512.1
32,1506.2
36,1501.5
41,1496.6
45,1492.2
50,1488.8
54,1486.3
59,1485
63,1481.2
68,1480.1
72,1476.7
77,1471.4
81,1469.7
86,1458.3
90,1457.4
94,1455.4
99,1454.7
103,1454.1
108,1448.3
112,1441.1
117,1422.6
121,1403.6
126,1391.8
130,1362.8
135,1345
139,1336.3
144,1328.5
148,1321.3
153,1315.2
157,1303.5
162,1300.4
166,1300.2
180,1294.4
198,1291.2
203,1291.1
212,1290.7
216,1290
814,1289.5
819,1286.5
823,1285.6
828,1285
832,1284.7
837,1284.5
896,1274
901,1270.1
905,1268.7
910,1267.3
960,1267
965,1266.4
969,1266.3
1327,1265.8
1332,1264.2
1858,1263.2
1862,1261.8
1867,1260.5
1871,1259.3
2617,1259.2
2622,1258.6
2626,1258.5
2631,1257.5
2635,1255.7
2640,1255.6
2663,1255.5
