elapsed_ms,best
4,1339.8
9,1328.4
14,1320.3
18,1301.3
23,1289.5
28,1279.2
32,1268.5
37,1256.3
42,1246.8
47,1237.6
52,1230.6
56,1225.3
61,1220.8
66,1217.9
70,1215.7
75,1213.8
80,1212
84,1210.5
89,1209.5
94,1208.5
98,1198.1
103,1191.4
108,1190.5
112,1187.7
117,1187.2
122,1176.6
126,1176.3
131,1176
135,1175.8
140,1175.3
145,1174
154,1173.3
159,1173.1
164,1172.8
168,1172.3
173,1171.4
182,1169.5
243,1168.5
247,1167
252,1165.5
257,1164
261,1163.2
266,1162.3
271,1161.8
275,1161.5
298,1160.8
303,1159
308,1158.6
317,1157.4
322,1156.7
327,1155.4
374,1154.8
378,1152.1
383,1149.5
402,1149.2
407,1147.8
412,1147.3
416,1147
421,1144.5
426,1144.2
431,1143.9
445,1142.6
1813,1141.8
1818,1140.9
1822,1140.4
1841,1139.6
1846,1137.5
1865,1137.3
1870,1137.2
1874,1135
1879,1133.7
1898,1131.3
1903,1127.3
1907,1124.2
1912,1122.3
1917,1119.5
1921,1118.2
1926,1117.7
2500,1114.2
2504,1112.1
2509,1110.3
2514,1109.1
2518,1107.4
2523,1104.9
2528,1103.9
2532,1103.1
2537,1102.7
2542,1096.8
2551,1095.3
2575,1094.2
5220,1092.8
5225,1091
5230,1090.6
5234,1090.5
5239,1090.3
5244,1089
5248,1088.9
5253,1088.1
10451,1087.3
10456,1084
10460,1083.1
10465,1082.7
10470,1078.9
10474,1078.6
