elapsed_ms,best
5,1364.5
9,1349.2
14,1335.3
19,1320.2
24,1306.4
29,1293.3
34,1283.6
39,1272.1
43,1265.3
48,1257.9
53,1251.3
58,1244.7
62,1237.9
67,1231.3
72,1225.6
77,1221.6
82,1217.7
86,1215.2
91,1213.9
96,1212.9
101,1212.1
105,1211.3
110,1210.8
115,1210.4
120,1210
125,1209.9
182,1207.1
186,1205.5
191,1204.9
196,1204.4
201,1204.1
206,1203.9
210,1203.7
220,1203.3
225,1203.2
931,1202.1
936,1201.3
940,1200.4
945,1199.6
950,1196.4
955,1195.8
959,1195.2
964,1194.7
969,1194.1
974,1193.7
978,1193.3
983,1192.6
988,1192.4
1933,1190.9
1937,1188.5
1942,1185.4
1947,1183.9
1952,1183.1
1956,1182.5
1961,1181.9
1966,1181.3
1971,1180.7
1975,1180.3
1980,1180
1985,1179.8
3596,1179.6
3601,1179
3606,1178.7
3611,1178.5
3615,1178.3
3620,1178.1
3625,1178
