elapsed_ms,best
0,2130.3
0,2092.1
0,2055.4
0,2022.9
0,1999.4
0,1976.9
0,1956.9
0,1938.7
0,1918.8
0,1903.3
0,1888.3
0,1875
0,1869.1
0,1842.5
0,1820.2
0,1802.3
0,1797.8
0,1793.1
0,1777.9
0,1740
0,1736.2
0,1732.6
0,1729
0,1717.6
0,1700.2
0,1697.4
0,1687.4
0,1684.6
0,1679.2
0,1668.5
0,1665.9
0,1663.7
0,1662.6
0,1659.8
0,1655.7
0,1655
0,1653.3
0,1652.9
0,1652.6
0,1615.2
0,1611
0,1578.8
0,1553.8
0,1548.7
0,1531.8
0,1530.7
0,1523.7
0,1522.2
0,1520.7
0,1512.8
0,1493.6
0,1484.9
0,1477.4
0,1475.2
0,1473.8
0,1472.5
0,1461.9
0,1460
0,1432.9
0,1426.6
0,1419.6
0,1416.4
0,1415.6
0,1412.9
