elapsed_ms,best
0,1280.3
0,1262.1
0,1246.2
0,1232.1
0,1221.4
0,1203.3
0,1194.2
0,1186.5
0,1176.8
0,1171
0,1165.7
0,1161.6
0,1156.3
0,1152.4
0,1143.9
0,1140.1
0,1138
0,1136
0,1132.7
0,1131
0,1123.8
0,1116
0,1108.3
0,1104.9
0,1102.7
0,1100.8
0,1099.9
0,1099.1
0,1098.4
0,1098
0,1097.9
0,1082.5
0,1074.6
0,1071.9
0,1071.6
0,1071.3
0,1066.9
0,1060.2
0,1058.6
0,1057.3
0,1054.2
0,1051.6
0,1040.3
0,1012.8
0,1009.5
0,1000.5
0,998
0,995.8
0,994.1
0,987.8
0,983.9
0,977.4
0,971.7
0,966
0,962.2
0,960.8
0,957.5
0,954.6
