elapsed_ms,best
0,1495.6
0,1481.2
0,1467
0,1453.9
0,1441.5
0,1429.2
0,1418.6
0,1410.5
0,1397.7
0,1390.6
0,1379.6
0,1367.5
0,1360.8
0,1354.5
0,1334.8
0,1309.8
0,1303.9
0,1285
0,1276.8
0,1256.6
0,1252.7
0,1248.9
0,1245.4
0,1240.2
0,1238.5
0,1237
0,1229.3
0,1224.6
0,1223.4
0,1222.2
0,1221
0,1220
0,1219.2
0,1216.7
0,1212.5
0,1211.9
0,1211.6
0,1206.8
0,1203.1
0,1201.7
0,1201.2
0,1201
0,1188.5
0,1179.5
0,1178.6
0,1178.5
0,1176.6
0,1166.8
0,1162.8
0,1160.6
0,1160.1
0,1159.3
0,1154.6
0,1146.7
0,1141.1
0,1135.6
0,1132.9
0,1131.4
0,1131
0,1127.6
0,1126.6
0,1120
0,1119.5
