elapsed_ms,best
8,1537.7
15,1512.2
23,1486.7
30,1462.4
38,1443.3
45,1421.6
53,1407.8
60,1391.9
68,1380.4
75,1369.4
82,1360.1
90,1352.8
97,1336.7
104,1313.5
112,1294.1
119,1287.8
127,1282
134,1277.1
141,1272.5
149,1258
156,1252.1
164,1248.3
171,1244.9
178,1232.7
186,1229.4
193,1226.6
200,1213.8
208,1207.1
215,1204.3
222,1201.7
230,1199.4
237,1197.3
244,1191.4
252,1189.4
259,1187.7
266,1183.9
273,1182.2
280,1173.7
288,1167.1
295,1160.8
302,1150
309,1143.8
317,1143.7
324,1143.6
331,1142.3
339,1140.9
353,1140
361,1136.3
368,1127.1
375,1121.8
383,1118.5
390,1116.3
397,1115.4
434,1105.6
441,1102.2
448,1101.1
455,1100
463,1099.1
594,1098.5
601,1096.9
608,1095.4
616,1092.1
623,1090.8
630,1090.2
2877,1089.4
2884,1085.6
2891,1082.8
2899,1081.3
2906,1080.5
3873,1079.1
3881,1077.3
3888,1076.3
3895,1075.6
3902,1075.1
3910,1074.8
3924,1071.6
3931,1067.9
6380,1061.5
6388,1057.1
6395,1054.4
6402,1051.8
6409,1049.3
6416,1047.2
6424,1041.1
6431,1039.2
6438,1038.4
8566,1038.1
8573,1036.3
8580,1035.7
8588,1035.2
8595,1034.7
8602,1034.6
