elapsed_ms,best
7,1729.3
15,1684.3
22,1640.7
30,1613.4
38,1595.5
45,1572.9
53,1535.2
60,1519.1
68,1503.4
76,1483.3
83,1471.6
90,1460.7
98,1451.5
105,1442.3
112,1433.8
119,1425.8
126,1417.8
133,1409.9
141,1402.6
148,1396
155,1389.4
162,1380.5
169,1374.8
176,1369.1
183,1365.1
190,1362
197,1359.1
204,1357.4
211,1350.9
219,1350
226,1330.6
233,1330
240,1329.4
247,1329
254,1328.7
261,1323
268,1322.4
275,1321.1
282,1313.1
289,1313
318,1301
325,1295.7
332,1291.6
339,1285.7
346,1261
353,1251.4
360,1243.9
367,1243.5
437,1237.6
444,1226.4
451,1225.2
458,1224.8
465,1224.6
472,1224.5
479,1223.7
