elapsed_ms,best
4,1355.5
9,1347.6
14,1342.6
19,1337.6
24,1333.4
29,1326.4
33,1319.5
38,1305.6
43,1297.7
48,1293.3
52,1272.5
57,1255.8
62,1242.6
66,1239.3
71,1226.6
76,1223.8
80,1220
85,1217.8
90,1216
95,1213.1
99,1203.4
104,1201.6
109,1200.1
113,1198.7
118,1197.8
123,1194.1
127,1194
132,1193.9
179,1192.7
184,1190.3
188,1189
193,1188.9
198,1188.8
231,1187.9
236,1179.3
240,1177.9
245,1177.4
283,1177.2
287,1177
753,1176.8
758,1171.5
763,1168.1
767,1164.8
772,1162.7
777,1162.1
782,1161.2
786,1157.5
791,1157
6597,1156.3
6602,1152.9
6606,1151.5
6611,1150.4
6616,1149.8
6620,1149.5
6625,1148.4
6630,1148.2
9060,1147.1
14625,1144.7
14629,1143.5
14634,1143.3
