algorithm,instance,seed,K,distance,gap_pct,derived
grasp,R208,1,1600,705.7,0.670471,1
grasp,R208,1,3200,705.7,0.670471,0
grasp,R209,1,50,925.1,8.224146,1
grasp,R209,1,100,901.4,5.451568,1
grasp,R209,1,200,887.8,3.860552,1
grasp,R209,1,400,868.0,1.544221,1
grasp,R209,1,800,868.0,1.544221,1
grasp,R209,1,1600,868.0,1.544221,1
grasp,R209,1,3200,868.0,1.544221,0
grasp,R211,1,50,794.4,6.388108,1
grasp,R211,1,100,794.4,6.388108,1
grasp,R211,1,200,794.4,6.388108,1
grasp,R211,1,400,794.3,6.374715,1
grasp,R211,1,800,794.3,6.374715,1
grasp,R211,1,1600,790.4,5.852417,1
grasp,R211,1,3200,781.1,4.606937,0
grasp,RC102,1,50,1482.0,1.687937,1
grasp,RC102,1,100,1482.0,1.687937,1
grasp,RC102,1,200,1482.0,1.687937,1
grasp,RC102,1,400,1482.0,1.687937,1
grasp,RC102,1,800,1472.6,1.042953,1
grasp,RC102,1,1600,1472.6,1.042953,1
grasp,RC102,1,3200,1472.6,1.042953,0
grasp,RC103,1,50,1322.8,5.151033,1
grasp,RC103,1,100,1322.8,5.151033,1
grasp,RC103,1,200,1289.9,2.535771,1
grasp,RC103,1,400,1280.0,1.748808,1
grasp,RC103,1,800,1280.0,1.748808,1
grasp,RC103,1,1600,1278.0,1.589825,1
grasp,RC103,1,3200,1278.0,1.589825,0
grasp,RC105,1,50,1557.3,2.880359,1
grasp,RC105,1,100,1557.3,2.880359,1
grasp,RC105,1,200,1557.3,2.880359,1
grasp,RC105,1,400,1557.3,2.880359,1
grasp,RC105,1,800,1548.1,2.272577,1
grasp,RC105,1,1600,1528.6,0.984343,1
grasp,RC105,1,3200,1528.6,0.984343,0
grasp,RC108,1,50,1176.5,5.591456,1
grasp,RC108,1,100,1162.2,4.308024,1
grasp,RC108,1,200,1143.4,2.620714,1
grasp,RC108,1,400,1131.5,1.552684,1
grasp,RC108,1,800,1131.5,1.552684,1
grasp,RC108,1,1600,1131.5,1.552684,1
grasp,RC108,1,3200,1131.5,1.552684,0
grasp,RC202,1,50,1161.4,6.326101,1
grasp,RC202,1,100,1128.3,3.295798,1
grasp,RC202,1,200,1128.3,3.295798,1
grasp,RC202,1,400,1128.3,3.295798,1
grasp,RC202,1,800,1115.7,2.142269,1
grasp,RC202,1,1600,1115.7,2.142269,1
grasp,RC202,1,3200,1115.7,2.142269,0
grasp,RC203,1,50,1011.3,9.483599,1
grasp,RC203,1,100,1011.3,9.483599,1
grasp,RC203,1,200,972.0,5.22897,1
grasp,RC203,1,400,972.0,5.22897,1
grasp,RC203,1,800,972.0,5.22897,1
grasp,RC203,1,1600,960.5,3.983977,1
grasp,RC203,1,3200,960.5,3.983977,0
grasp,RC206,1,50,1090.4,3.73894,1
grasp,RC206,1,100,1090.4,3.73894,1
grasp,RC206,1,200,1078.6,2.616307,1
grasp,RC206,1,400,1078.6,2.616307,1
grasp,RC206,1,800,1078.6,2.616307,1
grasp,RC206,1,1600,1078.6,2.616307,1
grasp,RC206,1,3200,1078.6,2.616307,0
grasp,RC208,1,50,870.8,12.202036,1
grasp,RC208,1,100,870.8,12.202036,1
grasp,RC208,1,200,870.8,12.202036,1
grasp,RC208,1,400,867.3,11.751063,1
grasp,RC208,1,800,844.9,8.864837,1
grasp,RC208,1,1600,844.9,8.864837,1
grasp,RC208,1,3200,844.9,8.864837,0
rgrasp,C104,1,50,822.9,0.0,0
rgrasp,C104,1,100,822.9,0.0,0
rgrasp,C104,1,200,822.9,0.0,0
rgrasp,C104,1,400,822.9,0.0,0
rgrasp,C104,1,800,822.9,0.0,0
rgrasp,C104,1,1600,822.9,0.0,0
rgrasp,C104,1,3200,822.9,0.0,0
rgrasp,C105,1,50,827.3,0.0,0
rgrasp,C105,1,100,827.3,0.0,0
rgrasp,C105,1,200,827.3,0.0,0
rgrasp,C105,1,400,827.3,0.0,0
rgrasp,C105,1,800,827.3,0.0,0
rgrasp,C105,1,1600,827.3,0.0,0
rgrasp,C105,1,3200,827.3,0.0,0
rgrasp,C107,1,50,827.3,0.0,0
rgrasp,C107,1,100,827.3,0.0,0
rgrasp,C107,1,200,827.3,0.0,0
rgrasp,C107,1,400,827.3,0.0,0
rgrasp,C107,1,800,827.3,0.0,0
rgrasp,C107,1,1600,827.3,0.0,0
rgrasp,C107,1,3200,827.3,0.0,0
rgrasp,C108,1,50,827.3,0.0,0
rgrasp,C108,1,100,827.3,0.0,0
rgrasp,C108,1,200,827.3,0.0,0
rgrasp,C108,1,400,827.3,0.0,0
rgrasp,C108,1,800,827.3,0.0,0
rgrasp,C108,1,1600,827.3,0.0,0
rgrasp,C108,1,3200,827.3,0.0,0
rgrasp,C203,1,50,597.7,1.528792,0
rgrasp,C203,1,100,597.7,1.528792,0
rgrasp,C203,1,200,597.7,1.528792,0
rgrasp,C203,1,400,597.7,1.528792,0
rgrasp,C203,1,800,597.7,1.528792,0
rgrasp,C203,1,1600,597.7,1.528792,0
rgrasp,C203,1,3200,588.7,0.0,0
rgrasp,C206,1,50,586.0,0.0,0
rgrasp,C206,1,100,586.0,0.0,0
rgrasp,C206,1,200,586.0,0.0,0
rgrasp,C206,1,400,586.0,0.0,0
rgrasp,C206,1,800,586.0,0.0,0
rgrasp,C206,1,1600,586.0,0.0,0
rgrasp,C206,1,3200,586.0,0.0,0
rgrasp,C207,1,50,585.8,0.0,0
rgrasp,C207,1,100,585.8,0.0,0
rgrasp,C207,1,200,585.8,0.0,0
rgrasp,C207,1,400,585.8,0.0,0
rgrasp,C207,1,800,585.8,0.0,0
rgrasp,C207,1,1600,585.8,0.0,0
rgrasp,C207,1,3200,585.8,0.0,0
rgrasp,C208,1,50,585.8,0.0,0
rgrasp,C208,1,100,585.8,0.0,0
rgrasp,C208,1,200,585.8,0.0,0
rgrasp,C208,1,400,585.8,0.0,0
rgrasp,C208,1,800,585.8,0.0,0
rgrasp,C208,1,1600,585.8,0.0,0
rgrasp,C208,1,3200,585.8,0.0,0
rgrasp,R102,1,50,1478.7,0.825038,0
rgrasp,R102,1,100,1467.8,0.081822,0
rgrasp,R102,1,200,1467.8,0.081822,0
rgrasp,R102,1,400,1467.8,0.081822,0
rgrasp,R102,1,800,1466.9,0.020455,0
rgrasp,R102,1,1600,1466.9,0.020455,0
rgrasp,R102,1,3200,1466.6,0.0,0
rgrasp,R103,1,50,1237.6,2.390999,0
rgrasp,R103,1,100,1237.6,2.390999,0
rgrasp,R103,1,200,1228.7,1.65467,0
rgrasp,R103,1,400,1222.1,1.108629,0
rgrasp,R103,1,800,1222.1,1.108629,0
rgrasp,R103,1,1600,1222.1,1.108629,0
rgrasp,R103,1,3200,1222.1,1.108629,0
rgrasp,R105,1,50,1396.4,3.032539,0
rgrasp,R105,1,100,1396.4,3.032539,0
rgrasp,R105,1,200,1371.8,1.217443,0
rgrasp,R105,1,400,1369.7,1.062495,0
rgrasp,R105,1,800,1369.7,1.062495,0
rgrasp,R105,1,1600,1365.1,0.723087,0
rgrasp,R105,1,3200,1365.1,0.723087,0
rgrasp,R107,1,50,1110.7,4.330265,0
rgrasp,R107,1,100,1110.7,4.330265,0
rgrasp,R107,1,200,1098.0,3.137329,0
rgrasp,R107,1,400,1098.0,3.137329,0
rgrasp,R107,1,800,1098.0,3.137329,0
rgrasp,R107,1,1600,1095.6,2.911892,0
rgrasp,R107,1,3200,1085.4,1.953785,0
rgrasp,R108,1,50,969.3,3.990988,0
rgrasp,R108,1,100,969.3,3.990988,0
rgrasp,R108,1,200,969.3,3.990988,0
rgrasp,R108,1,400,957.8,2.757215,0
rgrasp,R108,1,800,957.8,2.757215,0
rgrasp,R108,1,1600,957.8,2.757215,0
rgrasp,R108,1,3200,951.0,2.027679,0
rgrasp,R111,1,50,1098.3,4.729665,0
rgrasp,R111,1,100,1098.3,4.729665,0
rgrasp,R111,1,200,1071.5,2.17412,0
